Cars,mpg,cyl,disp,hp,drat,Feedback
MazdaRX4,21,6,160,110,3.9,1
MazdaRX4_WAG,21,6,160,110,3.9,0
Datsun_710,22.8,4,108,93,3.85,1
Hornet_4_Drive,21.4,6,258,110,3.08,1
Hornet_Sportabout,18.7,8,360,175,3.15,1
Valiant,18.1,6,225,105,2.76,1
Duster_360,14.3,8,360,245,3.21,0
Merc_240D,24.4,4,146.7,62,3.69,0
Merc_230,22.8,4,140.8,95,3.92,1
Merc_280,19.2,6,167.6,123,3.92,0
Merc_280C,17.8,6,167.6,123,3.92,0
Merc_450SE,16.4,8,275.8,180,3.07,0
Merc_450SL,17.3,8,275.8,180,3.07,1
Merc_450SLC,15.2,8,275.8,180,3.07,1
Cadillac_Fleetwood,10.4,8,472,205,2.93,1
Lincoln_Continental,10.4,8,460,215,3,0
Chrysler_Imperial,14.7,8,440,230,3.23,1
Fiat_128,32.4,4,78.7,66,4.08,1
Honda_Civic,30.4,4,75.7,52,4.93,0
Toyota_Corolla,33.9,4,71.1,65,4.22,0
Toyota_Corona,21.5,4,120.1,97,3.7,0
