Table Names,Last Week,Weeks on List,Author,Price,Name of the book,ISBN,Last Week/ Weeks on List,Rank,Rank Duplicate
Feb 07-18.xlsx/Nonfiction,1,5,Michael Wolff,30,Fire and Fury, 9781250158062,1/5,1,
Feb 07-18.xlsx/Nonfiction,2,40,Neil deGrasse Tyson,18.95,Astrophysics for People in a Hurry, 9780393609394,2/40,2,
Feb 07-18.xlsx/Nonfiction,3,44,Mark Manson,24.99,The Subtle Art of Not Giving A F*ck, 9780062457714,3/44,3,
Feb 07-18.xlsx/Nonfiction,4,16,Walter Isaacson,35,Leonardo da Vinci, 9781501139154,4/16,4,
Feb 07-18.xlsx/Nonfiction,15,31,David Grann,28.95,Killers of the Flower Moon, 9780385534246,15/31,5,
Feb 07-18.xlsx/Nonfiction,10,4,Daniel H. Pink,28,When, 9780735210622,10/4,6,
Feb 07-18.xlsx/Nonfiction,,1,Dave Eggers,28.95,The Monk of Mokha, 9781101947319,/1,7,
Feb 07-18.xlsx/Nonfiction,5,6,Tiffany Haddish,26,The Last Black Unicorn, 9781501181825,5/6,8,
Feb 07-18.xlsx/Nonfiction,9,11,Ray Dalio,30,Principles: Life and Work, 9781501124020,9/11,9,
Feb 07-18.xlsx/Nonfiction,6,75,J.D. Vance,27.99,Hillbilly Elegy, 9780062300546,6/75,10,
Feb 07-18.xlsx/Nonfiction,7,2,Steven Levitsky,26,How Democracies Die, 9781524762933,7/2,11,
Feb 07-18.xlsx/Nonfiction,12,8,Mary Beard,15.95,Women & Power, 9781631494758,12/8,12,
Feb 07-18.xlsx/Nonfiction,8,46,The Dalai Lama,26,The Book of Joy, 9780399185045,8/46,13,
Feb 07-18.xlsx/Nonfiction,11,3,Margareta Magnusson,18.99,The Gentle Art of Swedish Death Cleaning, 9781501173240,11/3,14,
Feb 07-18.xlsx/Nonfiction,13,17,Ron Chernow,40,Grant, 9781594204876,13/17,15,
Feb 07-18.xlsx/Fiction,2,5,A.J. Finn,26.99,The Woman in the Window, 9780062678416,2/5,1,1
Feb 07-18.xlsx/Fiction,1,4,Chloe Benjamin,26,The Immortalists, 9780735213180,1/4,2,2
Feb 07-18.xlsx/Fiction,3,74,Amor Towles,27,A Gentleman in Moscow, 9780670026197,3/74,3,3
Feb 07-18.xlsx/Fiction,5,18,Jesmyn Ward,26,"Sing, Unburied, Sing", 9781501126062,5/18,4,4
Feb 07-18.xlsx/Fiction,4,21,Celeste Ng,27,Little Fires Everywhere, 9780735224292,4/21,5,5
Feb 07-18.xlsx/Fiction,,1,Jojo Moyes,27,Still Me, 9780399562457,/1,6,6
Feb 07-18.xlsx/Fiction,6,18,Dan Brown,29.95,Origin, 9780385514231,6/18,7,7
Feb 07-18.xlsx/Fiction,10,4,Greer Hendricks,26.99,The Wife Between Us, 9781250130921,10/4,8,8
Feb 07-18.xlsx/Fiction,9,5,Naomi Alderman,26,The Power, 9780316547611,9/5,9,9
Feb 07-18.xlsx/Fiction,8,18,Jennifer Egan,27,Manhattan Beach, 9781476716732,8/18,10,10
Feb 07-18.xlsx/Fiction,7,12,Andy Weir,27,Artemis, 9780553448122,7/12,11,11
Feb 07-18.xlsx/Fiction,12,3,Denis Johnson,27,The Largesse of the Sea Maiden, 9780812988635,12/3,12,12
Feb 07-18.xlsx/Fiction,11,15,John Grisham,28.95,The Rooster Bar, 9780385541176,11/15,13,13
Feb 07-18.xlsx/Fiction,,1,Alan Bradley,26,The Grave's a Fine and Private Place, 9780345539991,/1,14,14
Feb 07-18.xlsx/Fiction,13,40,George Saunders,28,Lincoln in the Bardo, 9780812995343,13/40,15,15
